"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1","1415773_at","Ncl","17975","nucleolin",-0.226396677087626,9.72744203844221,-1.51656423970935,0.144876084706428,0.37662852613069,-5.71891259952421
"2","1415784_at","Vps35","65114","VPS35 retromer complex component",-0.352288620602114,7.5018771388788,-2.714022528781,0.0132882019360922,0.122975832719034,-3.59576023402203
"3","1415798_at","Ddr1","12305","discoidin domain receptor family, member 1",0.255351676064083,6.52672423559086,1.78593345671849,0.0891369237129122,0.302652323096756,-5.31304063067184
"4","1415801_at","Gja1","14609","gap junction protein, alpha 1",0.718281845613257,6.76150001158351,3.07516523075813,0.00592512302098916,0.0785391750304802,-2.83294915734079
"5","1415807_s_at","Srsf2","20382","serine/arginine-rich splicing factor 2",0.301714202779978,8.46165649983892,1.68832536861256,0.106733561708045,0.33050911205464,-5.4658865557431
"6","1415823_at","Scd2","20250","stearoyl-Coenzyme A desaturase 2",0.30939109336153,9.38992570066325,1.72592418864489,0.0996315385934201,0.320659697657542,-5.40776067867396
"7","1415828_a_at","Serp1","28146","stress-associated endoplasmic reticulum protein 1",0.240486740225603,7.77164026849232,1.5423158215585,0.138523281276101,0.368465446788674,-5.6823235828668
"8","1415834_at","Dusp6","67603","dual specificity phosphatase 6",-0.0385434882578668,10.6246790613878,-0.279269754466709,0.78287809805353,0.890594247166272,-6.80821925659778
"9","1415854_at","Kitl","17311","kit ligand",-0.616767870835413,6.21840063506102,-3.3539262470113,0.00312830828333228,0.0563214904996939,-2.22136698406285
"10","1415859_at","Eif3c","56347","eukaryotic translation initiation factor 3, subunit C",-0.676466553257542,10.4033655725175,-3.33384926563807,0.00327668592596855,0.0574529310411991,-2.26594317114342
"11","1415882_at","Ghitm","66092","growth hormone inducible transmembrane protein",0.296176084764067,11.3813462790791,2.29097851831233,0.0328469775945556,0.192025603337841,-4.43064446816771
"12","1415886_at","Sh2d3c","27387","SH2 domain containing 3C",0.0975418433373507,7.13866319939501,0.710212513234271,0.485694221227907,0.704006310556634,-6.59009691952217
"13","1415893_at","Sgpl1","20397","sphingosine phosphate lyase 1",0.0742425540727911,4.25588852021379,0.552755732946194,0.586498217997178,0.771613128989359,-6.69125054094067
"14","1415897_a_at","Mgst1","56615","microsomal glutathione S-transferase 1",-0.157726246621193,9.88522424350586,-1.24326059612587,0.228013613987594,0.474597945821962,-6.07598424582484
"15","1415899_at","Junb","16477","jun B proto-oncogene",-0.373066883468177,6.97371598888392,-2.20127731811367,0.0395070137681509,0.209898921854207,-4.5974962252071
"16","1415931_at","Igf2","16002","insulin-like growth factor 2",-0.142638821317417,4.53618645325015,-1.22662095999614,0.234076022820092,0.482243222352299,-6.09579862959785
"17","1415945_at","Mcm5","17218","minichromosome maintenance complex component 5",0.134673463365194,4.48556368950468,1.07060103268047,0.296979032055101,0.546628543673814,-6.27022572709855
"18","1415946_at","Pigq","14755","phosphatidylinositol glycan anchor biosynthesis, class Q",0.222138853279002,9.64356698743764,1.91765759521686,0.0694091195131703,0.269522613420263,-5.09704925440544
"19","1415952_at","Mark2","13728","MAP/microtubule affinity regulating kinase 2",0.0489923731423669,9.13705489410328,0.366545256611585,0.717770867193038,0.855219901487033,-6.77912268076293
"20","1415983_at","Lcp1","18826","lymphocyte cytosolic protein 1",-0.410052165872878,7.05590915271445,-2.68822608294175,0.0140620802379976,0.125603284634519,-3.64867671658946
"21","1415989_at","Vcam1","22329","vascular cell adhesion molecule 1",-0.0503094739319394,7.26614808148523,-0.396309196220218,0.696033630066204,0.843831738318616,-6.76742448524542
"22","1415996_at","Txnip","56338","thioredoxin interacting protein",-0.255360395375586,8.97106307348388,-2.08493404534215,0.0499750855610897,0.233717329606287,-4.80778791020169
"23","1415998_at","Vdac1","22333","voltage-dependent anion channel 1",0.223146300186068,12.4932988244512,1.85595761803176,0.0781138254462607,0.281836441282884,-5.19956977549981
"24","1416019_at","Dr1","13486","down-regulator of transcription 1",0.402028040605749,5.88342819026118,1.78460300468135,0.0893588090578908,0.303004374364951,-5.31516619653745
"25","1416029_at","Klf10","21847","Kruppel-like factor 10",-0.137460839634608,8.76451458009567,-0.711787528325407,0.484739096543644,0.703689973787021,-6.58896329344277
"26","1416041_at","Sgk1","20393","serum/glucocorticoid regulated kinase 1",-0.770109409018369,11.5533817282478,-5.18305998156393,4.38789695327247e-05,0.00299956635725706,1.96194177843401
"27","1416062_at","Tbc1d15","66687","TBC1 domain family, member 15",-0.297014608325565,7.8413328814788,-2.12305764055298,0.0462968014000317,0.226925144147192,-4.73966773019136
"28","1416072_at","Cd34","12490","CD34 antigen",0.0630050403801281,8.5529254264815,0.471887768874292,0.642066046291118,0.810008026411064,-6.73369174412788
"29","1416097_at","Lrrc4","192198","leucine rich repeat containing 4",-0.0832088133299216,9.03221220694362,-0.62748335863335,0.537374003316589,0.739827205962447,-6.64626660773144
"30","1416105_at","Nnt","18115","nicotinamide nucleotide transhydrogenase",0.0454574662359111,8.73301935697373,0.380021875829694,0.707896782894721,0.849629268376324,-6.77393739041018
